Time:0
Waiting clients:
(42,10,4)
(239,10,3)
(416,10,7)
(458,10,4)
(574,10,8)
(579,10,7)
(646,10,6)
(720,10,5)
(739,10,7)
(757,10,6)
(762,10,6)
(823,10,7)
(956,10,7)
(961,10,5)
(993,10,8)
(23,11,3)
(156,11,7)
(190,11,6)
(206,11,5)
(246,11,3)
(337,11,4)
(443,11,8)
(464,11,8)
(481,11,5)
(598,11,6)
(718,11,6)
(719,11,3)
(733,11,8)
(736,11,5)
(929,11,5)
(106,12,3)
(131,12,5)
(138,12,6)
(242,12,7)
(252,12,6)
(266,12,6)
(439,12,6)
(532,12,4)
(666,12,7)
(675,12,6)
(689,12,6)
(693,12,3)
(99,13,3)
(104,13,5)
(194,13,6)
(259,13,6)
(553,13,7)
(614,13,6)
(933,13,8)
(937,13,5)
(959,13,5)
(83,14,8)
(180,14,3)
(397,14,8)
(547,14,8)
(555,14,6)
(560,14,8)
(583,14,5)
(652,14,5)
(680,14,5)
(717,14,5)
(808,14,6)
(33,15,8)
(125,15,7)
(277,15,5)
(294,15,3)
(402,15,5)
(433,15,3)
(591,15,4)
(761,15,8)
(30,16,3)
(38,16,4)
(44,16,3)
(82,16,6)
(93,16,4)
(141,16,3)
(403,16,7)
(702,16,8)
(711,16,6)
(779,16,6)
(889,16,7)
(50,17,8)
(60,17,4)
(151,17,3)
(157,17,6)
(191,17,7)
(214,17,7)
(316,17,8)
(621,17,5)
(727,17,3)
(732,17,7)
(910,17,8)
(911,17,7)
(921,17,5)
(975,17,4)
(51,18,3)
(174,18,5)
(197,18,4)
(208,18,7)
(211,18,3)
(279,18,8)
(303,18,8)
(475,18,8)
(482,18,6)
(962,18,4)
(969,18,7)
(105,19,5)
(457,19,5)
(803,19,5)
(843,19,6)
(966,19,6)
(9,20,4)
(209,20,5)
(507,20,5)
(520,20,7)
(542,20,5)
(594,20,8)
(634,20,5)
(661,20,4)
(743,20,3)
(784,20,6)
(846,20,4)
(64,21,3)
(74,21,3)
(304,21,4)
(472,21,5)
(535,21,5)
(564,21,5)
(827,21,4)
(936,21,5)
(34,22,4)
(230,22,4)
(263,22,6)
(302,22,6)
(350,22,7)
(518,22,4)
(596,22,3)
(629,22,7)
(863,22,3)
(210,23,5)
(223,23,8)
(231,23,7)
(296,23,5)
(353,23,6)
(372,23,7)
(392,23,3)
(456,23,5)
(612,23,8)
(677,23,4)
(786,23,5)
(878,23,7)
(908,23,4)
(4,24,3)
(10,24,8)
(77,24,4)
(255,24,8)
(290,24,6)
(420,24,4)
(422,24,4)
(597,24,5)
(674,24,4)
(763,24,8)
(780,24,3)
(817,24,4)
(835,24,6)
(855,24,6)
(79,25,8)
(155,25,6)
(514,25,8)
(531,25,3)
(534,25,3)
(571,25,6)
(642,25,5)
(694,25,6)
(771,25,5)
(2,26,4)
(187,26,6)
(286,26,4)
(506,26,8)
(554,26,3)
(580,26,8)
(588,26,8)
(624,26,7)
(637,26,6)
(662,26,5)
(826,26,8)
(848,26,7)
(904,26,8)
(915,26,6)
(968,26,5)
(18,27,3)
(154,27,4)
(159,27,7)
(205,27,8)
(359,27,6)
(528,27,4)
(632,27,6)
(648,27,5)
(691,27,6)
(799,27,3)
(804,27,3)
(849,27,7)
(869,27,8)
(53,28,3)
(126,28,6)
(219,28,4)
(473,28,5)
(488,28,5)
(200,29,8)
(460,29,3)
(562,29,6)
(584,29,6)
(684,29,7)
(834,29,7)
(964,29,8)
(25,30,3)
(55,30,7)
(257,30,3)
(386,30,7)
(568,30,6)
(90,31,7)
(117,31,6)
(229,31,4)
(272,31,8)
(512,31,4)
(540,31,4)
(609,31,4)
(640,31,5)
(647,31,8)
(650,31,7)
(899,31,8)
(925,31,6)
(97,32,3)
(292,32,7)
(480,32,5)
(485,32,7)
(511,32,5)
(754,32,6)
(800,32,5)
(824,32,7)
(847,32,8)
(994,32,6)
(339,33,4)
(346,33,6)
(370,33,8)
(576,33,5)
(599,33,8)
(613,33,4)
(617,33,4)
(682,33,5)
(867,33,6)
(948,33,6)
(950,33,8)
(983,33,8)
(98,34,6)
(152,34,5)
(201,34,6)
(308,34,3)
(360,34,3)
(525,34,6)
(536,34,4)
(589,34,8)
(643,34,5)
(644,34,8)
(136,35,6)
(137,35,6)
(150,35,3)
(173,35,6)
(256,35,6)
(320,35,6)
(696,35,7)
(790,35,4)
(832,35,7)
(902,35,5)
(958,35,3)
(29,36,6)
(59,36,8)
(113,36,4)
(145,36,7)
(366,36,3)
(508,36,4)
(567,36,4)
(619,36,3)
(730,36,6)
(745,36,5)
(862,36,8)
(1,37,8)
(301,37,5)
(367,37,7)
(501,37,8)
(527,37,3)
(759,37,4)
(760,37,3)
(798,37,6)
(880,37,8)
(973,37,7)
(78,38,7)
(365,38,7)
(557,38,5)
(742,38,7)
(781,38,7)
(872,38,5)
(931,38,8)
(932,38,5)
(54,39,5)
(331,39,3)
(345,39,7)
(390,39,5)
(465,39,4)
(498,39,8)
(615,39,3)
(623,39,3)
(723,39,3)
(896,39,3)
(984,39,8)
(49,40,4)
(71,40,8)
(170,40,5)
(202,40,6)
(204,40,5)
(468,40,8)
(537,40,4)
(638,40,4)
(645,40,3)
(721,40,5)
(737,40,4)
(744,40,8)
(939,40,3)
(941,40,5)
(5,41,8)
(130,41,4)
(193,41,8)
(227,41,8)
(351,41,7)
(565,41,5)
(606,41,6)
(806,41,6)
(20,42,4)
(112,42,5)
(160,42,5)
(289,42,4)
(424,42,4)
(430,42,6)
(515,42,8)
(529,42,7)
(655,42,7)
(14,43,3)
(124,43,3)
(222,43,3)
(262,43,8)
(313,43,6)
(348,43,7)
(352,43,6)
(396,43,6)
(404,43,3)
(437,43,8)
(751,43,7)
(812,43,4)
(892,43,8)
(999,43,4)
(85,44,7)
